stream_id,machine,scenario,magnitude,seed,detector,policy,delay,detected,false_alarms,clean_windows,straddle_windows
machine-3-5|sudden_shift|2|0,machine-3-5,sudden_shift,2.0,0,js_max_thinned,fixed,inf,False,0,4,5
machine-3-5|sudden_shift|2|0,machine-3-5,sudden_shift,2.0,0,c2st,fixed,0.0,True,4,4,5
machine-3-5|sudden_shift|2|0,machine-3-5,sudden_shift,2.0,0,c2st_thinned,fixed,0.0,True,0,4,5
machine-3-5|sudden_shift|2|0,machine-3-5,sudden_shift,2.0,0,pca_recon,fixed,0.0,True,4,4,5
machine-3-5|sudden_shift|2|0,machine-3-5,sudden_shift,2.0,0,iforest_mean,fixed,0.0,True,0,4,5
machine-3-5|sudden_shift|2|0,machine-3-5,sudden_shift,2.0,0,random,fixed,0.0,True,0,4,5
machine-3-5|sudden_shift|2|1,machine-3-5,sudden_shift,2.0,1,ks_max,fixed,0.0,True,1,4,5
machine-3-5|sudden_shift|2|1,machine-3-5,sudden_shift,2.0,1,ks_bonferroni,fixed,inf,False,0,4,5
machine-3-5|sudden_shift|2|1,machine-3-5,sudden_shift,2.0,1,psi_max,fixed,0.0,True,3,4,5
machine-3-5|sudden_shift|2|1,machine-3-5,sudden_shift,2.0,1,wasserstein_max,fixed,inf,False,0,4,5
machine-3-5|sudden_shift|2|1,machine-3-5,sudden_shift,2.0,1,js_max,fixed,0.0,True,0,4,5
machine-3-5|sudden_shift|2|1,machine-3-5,sudden_shift,2.0,1,ks_max_thinned,fixed,0.0,True,0,4,5
machine-3-5|sudden_shift|2|1,machine-3-5,sudden_shift,2.0,1,psi_max_thinned,fixed,inf,False,0,4,5
machine-3-5|sudden_shift|2|1,machine-3-5,sudden_shift,2.0,1,wasserstein_max_thinned,fixed,inf,False,0,4,5
machine-3-5|sudden_shift|2|1,machine-3-5,sudden_shift,2.0,1,js_max_thinned,fixed,5.0,True,0,4,5
machine-3-5|sudden_shift|2|1,machine-3-5,sudden_shift,2.0,1,c2st,fixed,0.0,True,0,4,5
machine-3-5|sudden_shift|2|1,machine-3-5,sudden_shift,2.0,1,c2st_thinned,fixed,0.0,True,0,4,5
machine-3-5|sudden_shift|2|1,machine-3-5,sudden_shift,2.0,1,pca_recon,fixed,0.0,True,4,4,5
machine-3-5|sudden_shift|2|1,machine-3-5,sudden_shift,2.0,1,iforest_mean,fixed,0.0,True,0,4,5
machine-3-5|sudden_shift|2|1,machine-3-5,sudden_shift,2.0,1,random,fixed,1.0,True,0,4,5
machine-3-5|sudden_shift|4|0,machine-3-5,sudden_shift,4.0,0,ks_max,fixed,0.0,True,0,4,5
machine-3-5|sudden_shift|4|0,machine-3-5,sudden_shift,4.0,0,ks_bonferroni,fixed,inf,False,0,4,5
machine-3-5|sudden_shift|4|0,machine-3-5,sudden_shift,4.0,0,psi_max,fixed,0.0,True,2,4,5
machine-3-5|sudden_shift|4|0,machine-3-5,sudden_shift,4.0,0,wasserstein_max,fixed,inf,False,0,4,5
machine-3-5|sudden_shift|4|0,machine-3-5,sudden_shift,4.0,0,js_max,fixed,0.0,True,0,4,5
machine-3-5|sudden_shift|4|0,machine-3-5,sudden_shift,4.0,0,ks_max_thinned,fixed,0.0,True,0,4,5
machine-3-5|sudden_shift|4|0,machine-3-5,sudden_shift,4.0,0,psi_max_thinned,fixed,0.0,True,1,4,5
machine-3-5|sudden_shift|4|0,machine-3-5,sudden_shift,4.0,0,wasserstein_max_thinned,fixed,inf,False,0,4,5
machine-3-5|sudden_shift|4|0,machine-3-5,sudden_shift,4.0,0,js_max_thinned,fixed,0.0,True,0,4,5
machine-3-5|sudden_shift|4|0,machine-3-5,sudden_shift,4.0,0,c2st,fixed,0.0,True,0,4,5
machine-3-5|sudden_shift|4|0,machine-3-5,sudden_shift,4.0,0,c2st_thinned,fixed,0.0,True,0,4,5
machine-3-5|sudden_shift|4|0,machine-3-5,sudden_shift,4.0,0,pca_recon,fixed,0.0,True,4,4,5
machine-3-5|sudden_shift|4|0,machine-3-5,sudden_shift,4.0,0,iforest_mean,fixed,0.0,True,0,4,5
machine-3-5|sudden_shift|4|0,machine-3-5,sudden_shift,4.0,0,random,fixed,4.0,True,0,4,5
machine-3-5|sudden_shift|4|1,machine-3-5,sudden_shift,4.0,1,ks_max,fixed,0.0,True,4,4,5
machine-3-5|sudden_shift|4|1,machine-3-5,sudden_shift,4.0,1,ks_bonferroni,fixed,inf,False,0,4,5
machine-3-5|sudden_shift|4|1,machine-3-5,sudden_shift,4.0,1,psi_max,fixed,0.0,True,2,4,5
machine-3-5|sudden_shift|4|1,machine-3-5,sudden_shift,4.0,1,wasserstein_max,fixed,inf,False,0,4,5
machine-3-5|sudden_shift|4|1,machine-3-5,sudden_shift,4.0,1,js_max,fixed,0.0,True,0,4,5
machine-3-5|sudden_shift|4|1,machine-3-5,sudden_shift,4.0,1,ks_max_thinned,fixed,0.0,True,4,4,5
machine-3-5|sudden_shift|4|1,machine-3-5,sudden_shift,4.0,1,psi_max_thinned,fixed,2.0,True,0,4,5
machine-3-5|sudden_shift|4|1,machine-3-5,sudden_shift,4.0,1,wasserstein_max_thinned,fixed,inf,False,0,4,5
machine-3-5|sudden_shift|4|1,machine-3-5,sudden_shift,4.0,1,js_max_thinned,fixed,inf,False,0,4,5
machine-3-5|sudden_shift|4|1,machine-3-5,sudden_shift,4.0,1,c2st,fixed,0.0,True,4,4,5
machine-3-5|sudden_shift|4|1,machine-3-5,sudden_shift,4.0,1,c2st_thinned,fixed,0.0,True,0,4,5
machine-3-5|sudden_shift|4|1,machine-3-5,sudden_shift,4.0,1,pca_recon,fixed,0.0,True,3,4,5
machine-3-5|sudden_shift|4|1,machine-3-5,sudden_shift,4.0,1,iforest_mean,fixed,0.0,True,0,4,5
machine-3-5|sudden_shift|4|1,machine-3-5,sudden_shift,4.0,1,random,fixed,1.0,True,1,4,5
machine-3-5|gradual_shift|0.5|0,machine-3-5,gradual_shift,0.5,0,ks_max,fixed,4.0,True,0,4,5
machine-3-5|gradual_shift|0.5|0,machine-3-5,gradual_shift,0.5,0,ks_bonferroni,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|0.5|0,machine-3-5,gradual_shift,0.5,0,psi_max,fixed,0.0,True,2,4,5
machine-3-5|gradual_shift|0.5|0,machine-3-5,gradual_shift,0.5,0,wasserstein_max,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|0.5|0,machine-3-5,gradual_shift,0.5,0,js_max,fixed,6.0,True,0,4,5
machine-3-5|gradual_shift|0.5|0,machine-3-5,gradual_shift,0.5,0,ks_max_thinned,fixed,4.0,True,0,4,5
machine-3-5|gradual_shift|0.5|0,machine-3-5,gradual_shift,0.5,0,psi_max_thinned,fixed,6.0,True,0,4,5
machine-3-5|gradual_shift|0.5|0,machine-3-5,gradual_shift,0.5,0,wasserstein_max_thinned,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|0.5|0,machine-3-5,gradual_shift,0.5,0,js_max_thinned,fixed,4.0,True,0,4,5
machine-3-5|gradual_shift|0.5|0,machine-3-5,gradual_shift,0.5,0,c2st,fixed,1.0,True,0,4,5
machine-3-5|gradual_shift|0.5|0,machine-3-5,gradual_shift,0.5,0,c2st_thinned,fixed,4.0,True,0,4,5
machine-3-5|gradual_shift|0.5|0,machine-3-5,gradual_shift,0.5,0,pca_recon,fixed,4.0,True,4,4,5
machine-3-5|gradual_shift|0.5|0,machine-3-5,gradual_shift,0.5,0,iforest_mean,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|0.5|0,machine-3-5,gradual_shift,0.5,0,random,fixed,inf,False,1,4,5
machine-3-5|gradual_shift|0.5|1,machine-3-5,gradual_shift,0.5,1,ks_max,fixed,5.0,True,0,4,5
machine-3-5|gradual_shift|0.5|1,machine-3-5,gradual_shift,0.5,1,ks_bonferroni,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|0.5|1,machine-3-5,gradual_shift,0.5,1,psi_max,fixed,0.0,True,1,4,5
machine-3-5|gradual_shift|0.5|1,machine-3-5,gradual_shift,0.5,1,wasserstein_max,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|0.5|1,machine-3-5,gradual_shift,0.5,1,js_max,fixed,5.0,True,0,4,5
machine-3-5|gradual_shift|0.5|1,machine-3-5,gradual_shift,0.5,1,ks_max_thinned,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|0.5|1,machine-3-5,gradual_shift,0.5,1,psi_max_thinned,fixed,4.0,True,0,4,5
machine-3-5|gradual_shift|0.5|1,machine-3-5,gradual_shift,0.5,1,wasserstein_max_thinned,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|0.5|1,machine-3-5,gradual_shift,0.5,1,js_max_thinned,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|0.5|1,machine-3-5,gradual_shift,0.5,1,c2st,fixed,1.0,True,0,4,5
machine-3-5|gradual_shift|0.5|1,machine-3-5,gradual_shift,0.5,1,c2st_thinned,fixed,4.0,True,0,4,5
machine-3-5|gradual_shift|0.5|1,machine-3-5,gradual_shift,0.5,1,pca_recon,fixed,inf,False,3,4,5
machine-3-5|gradual_shift|0.5|1,machine-3-5,gradual_shift,0.5,1,iforest_mean,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|0.5|1,machine-3-5,gradual_shift,0.5,1,random,fixed,2.0,True,0,4,5
machine-3-5|gradual_shift|1|0,machine-3-5,gradual_shift,1.0,0,ks_max,fixed,2.0,True,0,4,5
machine-3-5|gradual_shift|1|0,machine-3-5,gradual_shift,1.0,0,ks_bonferroni,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|1|0,machine-3-5,gradual_shift,1.0,0,psi_max,fixed,0.0,True,1,4,5
machine-3-5|gradual_shift|1|0,machine-3-5,gradual_shift,1.0,0,wasserstein_max,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|1|0,machine-3-5,gradual_shift,1.0,0,js_max,fixed,6.0,True,0,4,5
machine-3-5|gradual_shift|1|0,machine-3-5,gradual_shift,1.0,0,ks_max_thinned,fixed,2.0,True,0,4,5
machine-3-5|gradual_shift|1|0,machine-3-5,gradual_shift,1.0,0,psi_max_thinned,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|1|0,machine-3-5,gradual_shift,1.0,0,wasserstein_max_thinned,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|1|0,machine-3-5,gradual_shift,1.0,0,js_max_thinned,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|1|0,machine-3-5,gradual_shift,1.0,0,c2st,fixed,0.0,True,0,4,5
machine-3-5|gradual_shift|1|0,machine-3-5,gradual_shift,1.0,0,c2st_thinned,fixed,2.0,True,0,4,5
machine-3-5|gradual_shift|1|0,machine-3-5,gradual_shift,1.0,0,pca_recon,fixed,0.0,True,4,4,5
machine-3-5|gradual_shift|1|0,machine-3-5,gradual_shift,1.0,0,iforest_mean,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|1|0,machine-3-5,gradual_shift,1.0,0,random,fixed,2.0,True,1,4,5
machine-3-5|gradual_shift|1|1,machine-3-5,gradual_shift,1.0,1,ks_max,fixed,2.0,True,0,4,5
machine-3-5|gradual_shift|1|1,machine-3-5,gradual_shift,1.0,1,ks_bonferroni,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|1|1,machine-3-5,gradual_shift,1.0,1,psi_max,fixed,0.0,True,2,4,5
machine-3-5|gradual_shift|1|1,machine-3-5,gradual_shift,1.0,1,wasserstein_max,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|1|1,machine-3-5,gradual_shift,1.0,1,js_max,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|1|1,machine-3-5,gradual_shift,1.0,1,ks_max_thinned,fixed,2.0,True,0,4,5
machine-3-5|gradual_shift|1|1,machine-3-5,gradual_shift,1.0,1,psi_max_thinned,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|1|1,machine-3-5,gradual_shift,1.0,1,wasserstein_max_thinned,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|1|1,machine-3-5,gradual_shift,1.0,1,js_max_thinned,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|1|1,machine-3-5,gradual_shift,1.0,1,c2st,fixed,0.0,True,0,4,5
machine-3-5|gradual_shift|1|1,machine-3-5,gradual_shift,1.0,1,c2st_thinned,fixed,1.0,True,0,4,5
machine-3-5|gradual_shift|1|1,machine-3-5,gradual_shift,1.0,1,pca_recon,fixed,3.0,True,4,4,5
machine-3-5|gradual_shift|1|1,machine-3-5,gradual_shift,1.0,1,iforest_mean,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|1|1,machine-3-5,gradual_shift,1.0,1,random,fixed,6.0,True,0,4,5
machine-3-5|gradual_shift|2|0,machine-3-5,gradual_shift,2.0,0,ks_max,fixed,2.0,True,0,4,5
machine-3-5|gradual_shift|2|0,machine-3-5,gradual_shift,2.0,0,ks_bonferroni,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|2|0,machine-3-5,gradual_shift,2.0,0,psi_max,fixed,0.0,True,2,4,5
machine-3-5|gradual_shift|2|0,machine-3-5,gradual_shift,2.0,0,wasserstein_max,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|2|0,machine-3-5,gradual_shift,2.0,0,js_max,fixed,6.0,True,0,4,5
machine-3-5|gradual_shift|2|0,machine-3-5,gradual_shift,2.0,0,ks_max_thinned,fixed,2.0,True,0,4,5
machine-3-5|gradual_shift|2|0,machine-3-5,gradual_shift,2.0,0,psi_max_thinned,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|2|0,machine-3-5,gradual_shift,2.0,0,wasserstein_max_thinned,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|2|0,machine-3-5,gradual_shift,2.0,0,js_max_thinned,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|2|0,machine-3-5,gradual_shift,2.0,0,c2st,fixed,1.0,True,0,4,5
machine-3-5|gradual_shift|2|0,machine-3-5,gradual_shift,2.0,0,c2st_thinned,fixed,2.0,True,0,4,5
machine-3-5|gradual_shift|2|0,machine-3-5,gradual_shift,2.0,0,pca_recon,fixed,0.0,True,4,4,5
machine-3-5|gradual_shift|2|0,machine-3-5,gradual_shift,2.0,0,iforest_mean,fixed,6.0,True,0,4,5
machine-3-5|gradual_shift|2|0,machine-3-5,gradual_shift,2.0,0,random,fixed,1.0,True,1,4,5
machine-3-5|gradual_shift|2|1,machine-3-5,gradual_shift,2.0,1,ks_max,fixed,2.0,True,0,4,5
machine-3-5|gradual_shift|2|1,machine-3-5,gradual_shift,2.0,1,ks_bonferroni,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|2|1,machine-3-5,gradual_shift,2.0,1,psi_max,fixed,0.0,True,2,4,5
machine-3-5|gradual_shift|2|1,machine-3-5,gradual_shift,2.0,1,wasserstein_max,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|2|1,machine-3-5,gradual_shift,2.0,1,js_max,fixed,4.0,True,0,4,5
machine-3-5|gradual_shift|2|1,machine-3-5,gradual_shift,2.0,1,ks_max_thinned,fixed,1.0,True,0,4,5
machine-3-5|gradual_shift|2|1,machine-3-5,gradual_shift,2.0,1,psi_max_thinned,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|2|1,machine-3-5,gradual_shift,2.0,1,wasserstein_max_thinned,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|2|1,machine-3-5,gradual_shift,2.0,1,js_max_thinned,fixed,2.0,True,0,4,5
machine-3-5|gradual_shift|2|1,machine-3-5,gradual_shift,2.0,1,c2st,fixed,1.0,True,0,4,5
machine-3-5|gradual_shift|2|1,machine-3-5,gradual_shift,2.0,1,c2st_thinned,fixed,1.0,True,0,4,5
machine-3-5|gradual_shift|2|1,machine-3-5,gradual_shift,2.0,1,pca_recon,fixed,0.0,True,4,4,5
machine-3-5|gradual_shift|2|1,machine-3-5,gradual_shift,2.0,1,iforest_mean,fixed,2.0,True,0,4,5
machine-3-5|gradual_shift|2|1,machine-3-5,gradual_shift,2.0,1,random,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|4|0,machine-3-5,gradual_shift,4.0,0,ks_max,fixed,0.0,True,3,4,5
machine-3-5|gradual_shift|4|0,machine-3-5,gradual_shift,4.0,0,ks_bonferroni,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|4|0,machine-3-5,gradual_shift,4.0,0,psi_max,fixed,0.0,True,2,4,5
machine-3-5|gradual_shift|4|0,machine-3-5,gradual_shift,4.0,0,wasserstein_max,fixed,1.0,True,0,4,5
machine-3-5|gradual_shift|4|0,machine-3-5,gradual_shift,4.0,0,js_max,fixed,4.0,True,0,4,5
machine-3-5|gradual_shift|4|0,machine-3-5,gradual_shift,4.0,0,ks_max_thinned,fixed,2.0,True,1,4,5
machine-3-5|gradual_shift|4|0,machine-3-5,gradual_shift,4.0,0,psi_max_thinned,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|4|0,machine-3-5,gradual_shift,4.0,0,wasserstein_max_thinned,fixed,3.0,True,0,4,5
machine-3-5|gradual_shift|4|0,machine-3-5,gradual_shift,4.0,0,js_max_thinned,fixed,4.0,True,0,4,5
machine-3-5|gradual_shift|4|0,machine-3-5,gradual_shift,4.0,0,c2st,fixed,0.0,True,4,4,5
machine-3-5|gradual_shift|4|0,machine-3-5,gradual_shift,4.0,0,c2st_thinned,fixed,0.0,True,2,4,5
machine-3-5|gradual_shift|4|0,machine-3-5,gradual_shift,4.0,0,pca_recon,fixed,0.0,True,4,4,5
machine-3-5|gradual_shift|4|0,machine-3-5,gradual_shift,4.0,0,iforest_mean,fixed,0.0,True,0,4,5
machine-3-5|gradual_shift|4|0,machine-3-5,gradual_shift,4.0,0,random,fixed,1.0,True,0,4,5
machine-3-5|gradual_shift|4|1,machine-3-5,gradual_shift,4.0,1,ks_max,fixed,0.0,True,3,4,5
machine-3-5|gradual_shift|4|1,machine-3-5,gradual_shift,4.0,1,ks_bonferroni,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|4|1,machine-3-5,gradual_shift,4.0,1,psi_max,fixed,0.0,True,2,4,5
machine-3-5|gradual_shift|4|1,machine-3-5,gradual_shift,4.0,1,wasserstein_max,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|4|1,machine-3-5,gradual_shift,4.0,1,js_max,fixed,4.0,True,0,4,5
machine-3-5|gradual_shift|4|1,machine-3-5,gradual_shift,4.0,1,ks_max_thinned,fixed,0.0,True,3,4,5
machine-3-5|gradual_shift|4|1,machine-3-5,gradual_shift,4.0,1,psi_max_thinned,fixed,4.0,True,0,4,5
machine-3-5|gradual_shift|4|1,machine-3-5,gradual_shift,4.0,1,wasserstein_max_thinned,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|4|1,machine-3-5,gradual_shift,4.0,1,js_max_thinned,fixed,inf,False,0,4,5
machine-3-5|gradual_shift|4|1,machine-3-5,gradual_shift,4.0,1,c2st,fixed,0.0,True,4,4,5
machine-3-5|gradual_shift|4|1,machine-3-5,gradual_shift,4.0,1,c2st_thinned,fixed,0.0,True,0,4,5
machine-3-5|gradual_shift|4|1,machine-3-5,gradual_shift,4.0,1,pca_recon,fixed,0.0,True,3,4,5
machine-3-5|gradual_shift|4|1,machine-3-5,gradual_shift,4.0,1,iforest_mean,fixed,0.0,True,0,4,5
machine-3-5|gradual_shift|4|1,machine-3-5,gradual_shift,4.0,1,random,fixed,1.0,True,0,4,5
machine-3-5|incremental_shift|0.5|0,machine-3-5,incremental_shift,0.5,0,ks_max,fixed,0.0,True,3,4,5
machine-3-5|incremental_shift|0.5|0,machine-3-5,incremental_shift,0.5,0,ks_bonferroni,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|0.5|0,machine-3-5,incremental_shift,0.5,0,psi_max,fixed,0.0,True,2,4,5
machine-3-5|incremental_shift|0.5|0,machine-3-5,incremental_shift,0.5,0,wasserstein_max,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|0.5|0,machine-3-5,incremental_shift,0.5,0,js_max,fixed,4.0,True,0,4,5
machine-3-5|incremental_shift|0.5|0,machine-3-5,incremental_shift,0.5,0,ks_max_thinned,fixed,3.0,True,2,4,5
machine-3-5|incremental_shift|0.5|0,machine-3-5,incremental_shift,0.5,0,psi_max_thinned,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|0.5|0,machine-3-5,incremental_shift,0.5,0,wasserstein_max_thinned,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|0.5|0,machine-3-5,incremental_shift,0.5,0,js_max_thinned,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|0.5|0,machine-3-5,incremental_shift,0.5,0,c2st,fixed,0.0,True,4,4,5
machine-3-5|incremental_shift|0.5|0,machine-3-5,incremental_shift,0.5,0,c2st_thinned,fixed,1.0,True,1,4,5
machine-3-5|incremental_shift|0.5|0,machine-3-5,incremental_shift,0.5,0,pca_recon,fixed,5.0,True,4,4,5
machine-3-5|incremental_shift|0.5|0,machine-3-5,incremental_shift,0.5,0,iforest_mean,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|0.5|0,machine-3-5,incremental_shift,0.5,0,random,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|0.5|1,machine-3-5,incremental_shift,0.5,1,ks_max,fixed,0.0,True,3,4,5
machine-3-5|incremental_shift|0.5|1,machine-3-5,incremental_shift,0.5,1,ks_bonferroni,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|0.5|1,machine-3-5,incremental_shift,0.5,1,psi_max,fixed,0.0,True,4,4,5
machine-3-5|incremental_shift|0.5|1,machine-3-5,incremental_shift,0.5,1,wasserstein_max,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|0.5|1,machine-3-5,incremental_shift,0.5,1,js_max,fixed,4.0,True,0,4,5
machine-3-5|incremental_shift|0.5|1,machine-3-5,incremental_shift,0.5,1,ks_max_thinned,fixed,0.0,True,3,4,5
machine-3-5|incremental_shift|0.5|1,machine-3-5,incremental_shift,0.5,1,psi_max_thinned,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|0.5|1,machine-3-5,incremental_shift,0.5,1,wasserstein_max_thinned,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|0.5|1,machine-3-5,incremental_shift,0.5,1,js_max_thinned,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|0.5|1,machine-3-5,incremental_shift,0.5,1,c2st,fixed,0.0,True,4,4,5
machine-3-5|incremental_shift|0.5|1,machine-3-5,incremental_shift,0.5,1,c2st_thinned,fixed,0.0,True,2,4,5
machine-3-5|incremental_shift|0.5|1,machine-3-5,incremental_shift,0.5,1,pca_recon,fixed,5.0,True,3,4,5
machine-3-5|incremental_shift|0.5|1,machine-3-5,incremental_shift,0.5,1,iforest_mean,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|0.5|1,machine-3-5,incremental_shift,0.5,1,random,fixed,inf,False,1,4,5
machine-3-5|incremental_shift|1|0,machine-3-5,incremental_shift,1.0,0,ks_max,fixed,0.0,True,3,4,5
machine-3-5|incremental_shift|1|0,machine-3-5,incremental_shift,1.0,0,ks_bonferroni,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|1|0,machine-3-5,incremental_shift,1.0,0,psi_max,fixed,0.0,True,2,4,5
machine-3-5|incremental_shift|1|0,machine-3-5,incremental_shift,1.0,0,wasserstein_max,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|1|0,machine-3-5,incremental_shift,1.0,0,js_max,fixed,4.0,True,0,4,5
machine-3-5|incremental_shift|1|0,machine-3-5,incremental_shift,1.0,0,ks_max_thinned,fixed,0.0,True,3,4,5
machine-3-5|incremental_shift|1|0,machine-3-5,incremental_shift,1.0,0,psi_max_thinned,fixed,2.0,True,0,4,5
machine-3-5|incremental_shift|1|0,machine-3-5,incremental_shift,1.0,0,wasserstein_max_thinned,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|1|0,machine-3-5,incremental_shift,1.0,0,js_max_thinned,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|1|0,machine-3-5,incremental_shift,1.0,0,c2st,fixed,0.0,True,4,4,5
machine-3-5|incremental_shift|1|0,machine-3-5,incremental_shift,1.0,0,c2st_thinned,fixed,1.0,True,0,4,5
machine-3-5|incremental_shift|1|0,machine-3-5,incremental_shift,1.0,0,pca_recon,fixed,3.0,True,4,4,5
machine-3-5|incremental_shift|1|0,machine-3-5,incremental_shift,1.0,0,iforest_mean,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|1|0,machine-3-5,incremental_shift,1.0,0,random,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|1|1,machine-3-5,incremental_shift,1.0,1,ks_max,fixed,0.0,True,3,4,5
machine-3-5|incremental_shift|1|1,machine-3-5,incremental_shift,1.0,1,ks_bonferroni,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|1|1,machine-3-5,incremental_shift,1.0,1,psi_max,fixed,0.0,True,2,4,5
machine-3-5|incremental_shift|1|1,machine-3-5,incremental_shift,1.0,1,wasserstein_max,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|1|1,machine-3-5,incremental_shift,1.0,1,js_max,fixed,5.0,True,0,4,5
machine-3-5|incremental_shift|1|1,machine-3-5,incremental_shift,1.0,1,ks_max_thinned,fixed,0.0,True,2,4,5
machine-3-5|incremental_shift|1|1,machine-3-5,incremental_shift,1.0,1,psi_max_thinned,fixed,5.0,True,0,4,5
machine-3-5|incremental_shift|1|1,machine-3-5,incremental_shift,1.0,1,wasserstein_max_thinned,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|1|1,machine-3-5,incremental_shift,1.0,1,js_max_thinned,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|1|1,machine-3-5,incremental_shift,1.0,1,c2st,fixed,0.0,True,4,4,5
machine-3-5|incremental_shift|1|1,machine-3-5,incremental_shift,1.0,1,c2st_thinned,fixed,0.0,True,0,4,5
machine-3-5|incremental_shift|1|1,machine-3-5,incremental_shift,1.0,1,pca_recon,fixed,2.0,True,4,4,5
machine-3-5|incremental_shift|1|1,machine-3-5,incremental_shift,1.0,1,iforest_mean,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|1|1,machine-3-5,incremental_shift,1.0,1,random,fixed,2.0,True,1,4,5
machine-3-5|incremental_shift|2|0,machine-3-5,incremental_shift,2.0,0,ks_max,fixed,0.0,True,1,4,5
machine-3-5|incremental_shift|2|0,machine-3-5,incremental_shift,2.0,0,ks_bonferroni,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|2|0,machine-3-5,incremental_shift,2.0,0,psi_max,fixed,0.0,True,3,4,5
machine-3-5|incremental_shift|2|0,machine-3-5,incremental_shift,2.0,0,wasserstein_max,fixed,inf,False,0,4,5
machine-3-5|incremental_shift|2|0,machine-3-5,incremental_shift,2.0,0,js_max,fixed,6.0,True,0,4,5
machine-3-5|incremental_shift|2|0,machine-3-5,incremental_shift,2.0,0,ks_max_thinned,fixed,0.0,True,1,4,5
machine-3-5|incremental_shift|2|0,machine-3-5,incremental_shift,2.0,0,psi_max_thinned,fixed,inf,False,0,4,5
